"","Time","Location","Type.of.bomb","Damage.or.other","lat","lon","district"
"162",1940-09-07 17:47:00,"Bowater Road, Woolwich SE18, London, UK","EB.and.IB","Owned by Siemens Bros. & Co., Ltd. Electrical cable manufacturers""L"" block- 6 floors and basement 80x40, workrooms offices and store, 3 upper foors cona contents damaged. Three other buildings damaged.",51.494191,0.042463,"Greenwich"
"163",1940-09-07 17:50:00,"Samuel Street, Woolwich SE18. Nos.148-154 inclusive, London, UK","IB","4 private houses and contents damaged.",51.4917702,0.0525492,"Greenwich"
"164",1940-09-07 17:50:00,"Samuel Street, Woolwich SE18, London, UK","EB","16 private houses damaged",51.490349,0.051529,"Greenwich"
"165",1940-09-07 17:50:00,"Red Barracks, Francis Street, Woolwich SE18, London, UK","EB","HM War Dept. Military College of Science Slightly damaged",51.5469233,0.004706,"Newham"
"166",1940-09-07 17:50:00,"13 Walerand Road Lewisham, SE13, London, UK","EB","South Met Gas Company, three houses, gas pipes and gas destroyed",51.4664081,-0.0089028,"Lewisham"
"167",1940-09-07 17:50:00,"Honor Oak Road, Forest Hill SE23, London, UK","EB","Owned by Lewisham BC 6x3 Roadway damage",51.444383,-0.055281,"Lewisham"
"168",1940-09-07 17:51:00,"Devons Road, Bromley, E3, London, UK","IB","St. Andew's Hospital. 100x50 three floor building, roofing and joisting damaged by fire. 100x22 three floor building roofing and joisting damaged. 50x20 one floor building damaged. 40x20 plumbers workshop . 1/6 contents damaged. A number of IB burned out in hospital grounds.",51.5227719,-0.0184907,"Tower Hamlets"
"169",1940-09-07 17:51:00,"Empson Street, Bromley, E3, London, UK","IB","Berger Hall Central Church and Medical Mission 120x80 lecture hall and club rooms, contents severely damaged.",51.5221616,-0.0131847,"Tower Hamlets"
"170",1940-09-07 17:51:00,"Albert Road, North Wollwich, E16, London, UK","IB","12x6 wooden fencing and railway cutting away damaged",51.513263,-0.089878,"City of London"
"171",1940-09-07 17:52:00,"Brewery Wharf, Creek Road, Greenwich, SE10, London, UK","EB","Headley's Wharf, Ltd.20x15 of quayside damaged by explosion",51.4809748,-0.0209403,"Greenwich"
"172",1940-09-07 17:52:00,"Hyde Vale Greenwich S10, London, UK","Crashed.Aircraft","HM War Dept. Royal Air Force. An aeroplane damaged by fire by explosion and breakage",51.4759525,-0.0094975,"Greenwich"
"173",1940-09-07 17:52:00,"Catherine Grove, Greenwich SE10, London, UK","IB","London Auxiliary Fire Service: Medium trailer pump of content damaged. Tar and brickwork damaged in yard",51.474466,-0.01876,"Greenwich"
"174",1940-09-07 17:52:00,"70 Crooms Hill, Greenwich SE10, London, UK","IB","Ladies School. Ursuline Convent 10x4 roof damage",51.4767154,-0.0057761,"Greenwich"
"175",1940-09-07 17:52:00,"West Ferry Road, Millwall, E14, London, UK","EB.and.IB","Thames Oil Wharft, Ltd. 1000, 45 gallonmineral oil drums and three oil tanks (40 tons each) and two, 2 foor buildings, contents and machinery all damaged.",51.43001455,-0.323323672685084,"Richmond upon Thames"
"176",1940-09-07 17:52:00,"West Ferry Road, Millwall, E14, London, UK","EB.and.IB","Timber storage. 2 Tarpaulins burned and a 20x 10 stack or timberand an iron shed all damaged",51.43001455,-0.323323672685084,"Richmond upon Thames"
"177",1940-09-07 17:53:00,"457 Brockley Road, Brockley SE4, London, UK","IB","Back room on ground floor and contents damaged",51.4600089,-0.0339848,"Lewisham"
"178",1940-09-07 17:53:00,"Glebe Terrace, Bow E3, London, UK","IB","Front room on first floor and contents slightly damaged. Roof by breakage",51.513263,-0.089878,"City of London"
"179",1940-09-07 17:54:00,"Conduit House, Hyde Vale, Greenwich SE10, London, UK","IB","15x5 roof damage to house that had been let out as flats",51.4759525,-0.0094975,"Greenwich"
"180",1940-09-07 17:54:00,"Bexley Road Eltham, SE9, London, UK","IB","10x6 GRASS burned",51.4508399,0.0637674,"Greenwich"
"181",1940-09-07 17:54:00,"599 Manchester Road, Cubitt Town, E14, London, UK","IB","Private house of 9 room s damaged by fire",51.50047065,-0.0093683885141381,"Tower Hamlets"
"182",1940-09-07 17:55:00,"47 Lewisham Road SE10, London, UK","EB","Hairdressers, Severley damaged",51.4713332,-0.0147997,"Greenwich"
"183",1940-09-07 17:55:00,"Hollyhedge House, Blackheath, SE3, London, UK","IB","HM War Dept 2x1 damage",51.509648,-0.099076,NA
"184",1940-09-07 17:55:00,"117 Sedgeway, Catford, SE6, London, UK","EB","Private house of 6 rooms damaged",51.4401649,0.0072464,"Lewisham"
"185",1940-09-07 17:55:00,"201 Boundfield Road, Downham, London, UK","EB","Private house of 6 rooms damaged",51.4341662,0.0007198,"Lewisham"
"186",1940-09-07 17:55:00,"30 Brandham Road, Lee Se12, London, UK","IB","roof damaged by fire",51.45709725,0.00712514493385201,"Lewisham"
"187",1940-09-07 17:55:00,"Uplands Brandram, Road, Lee SE12, London, UK","IB","roof damaged by fire",51.4586598,-0.0111585920068,"Lewisham"
"188",1940-09-07 17:55:00,"1 Elliot park, Blackheath, SE3, London, UK","EB.and.IB","four houses, each with 12 rooms slightly damaged",51.513263,-0.089878,"City of London"
"189",1940-09-07 17:55:00,"Brandham Road, Lee, SE12, London, UK",NA,"top floor contents damaged",51.4096366,-0.0431569,"Bromley"
"190",1940-09-07 17:55:00,"25 Dowanhill Road, Catford, Se6, London, UK",NA,"Unexploded bomb at rear of premises, not yet detonated",51.4399296,-0.0019629,"Lewisham"
"191",1940-09-07 17:55:00,"Alms House, Brandham, Lee, SE12, London, UK",NA,"two unexploded bombs",51.481384,-0.003911,"Greenwich"
"192",1940-09-07 17:55:00,"Tunnel Avenue, Greenwich, SE10, London, UK","EB","building of one room and tro floors severley damaged",51.489445,0.008867,"Greenwich"
"193",1940-09-07 17:55:00,"34 Grantley Street, Mile End E1, London, UK","IB","House of 6 rooms, first floor and contents severely damaged. Part of roof off.",51.5256236,-0.0457464,"Tower Hamlets"
"194",1940-09-07 17:57:00,"St. Catherine's Vicarage, Pepys's Road, New Cross, SE14, London, UK","IB","house of 20 rooms, most of roof off, contents slightly damaged.",51.548132,-0.073628,"Hackney"
"195",1940-09-07 17:57:00,"27, Elsdale Street, Hackney, E9, London, UK","IB","Back room on second floor and contents damaged. Roof damaged by breakage",51.5431308,-0.0490219,"Hackney"
"196",1940-09-07 17:57:00,"40 Harford Street, Stepney, E1, London, UK","IB","House of 5 rooms and contents severely damaged",51.5222915,-0.0393976,"Tower Hamlets"
"197",1940-09-07 17:57:00,"Garnett Street Stepney E1, London, UK",NA,"Minor fire and explosion damage",51.513263,-0.089878,"City of London"
"198",1940-09-07 17:57:00,"North Woolwich Road E16, London, UK","IB","Victualler Barge House60x40 two floor building, used as victuallers and contents damaged.",51.5028049,0.0388043,"Newham"
"199",1940-09-07 17:58:00,"Gervase Street, Camberwell, SE16, London, UK","IB","2x1 roadway damage",51.479357,-0.058363,"Southwark"
"200",1940-09-07 17:58:00,"Crofton Park Railway Station, Brockley, SE4, London, UK","IB","(Southern Railway) IB on Track",51.45491715,-0.0364719790345826,"Lewisham"
"201",1940-09-07 17:58:00,"100 Skidmore Street, Stepney E1, London, UK","IB","A timber shed building about 20 x 10ft (used as a store) and contents damaged",51.516152,-0.046262,"Tower Hamlets"
"202",1940-09-07 17:59:00,"25 Goodwood Road, Newcross, SE14, London, UK","IB","Aspinalls. Paint Manufacturers. 20x10 roofing and joisting damaged",51.475276,-0.0390575,"Lewisham"
"203",1940-09-07 17:59:00,"Surrey Commercial Docks, SE16, London, UK","IB","Port of London, timber yards, warehouses, offices and stores, covering 120 acres, including 10 shops and small craft of about 30 000 tons gross. 4/5 of content damaged.  Roofs off. Two firemen killed and four injured",51.499858,-0.033176,"Southwark"
"204",1940-09-07 17:59:00,"250 Silver Walk, Rotherhithe Street, Se16, London, UK","IB","block of mofel dwellings damaged by explosion.",51.5053227,-0.0450963,"Southwark"
"205",1940-09-07 17:59:00,"660 Rotherhithe Street, Se16, London, UK","IB","4 floor buildings, covering 1/2 mile, severely damaged",51.5019456,-0.0333414,"Southwark"
"206",1940-09-07 17:59:00,"Milbourne St, Hackney E9, London, UK","IB","Slipper manufacturer- building of 1 and 2 floors about 80 x 60 feet, used as workrooms, offices and stores severely damaged. Most part of roof off and door and window glass broken",51.513263,-0.089878,"City of London"
"207",1940-09-07 17:59:00,"Arnold Road, Bow E3, London, UK","IB","Back room on first floor and contents slightly damaged. Roof by breakage",51.5897628,-0.0728823,"Haringey"
"208",1940-09-07 17:59:00,"West Ferry Road, Millwall, E14, London, UK","EB","20 ft of railway track and a building of one floor80x40 damaged",51.43001455,-0.323323672685084,"Richmond upon Thames"
"209",1940-09-07 18:00:00,"8 Lanbury Road, Camberwell SE15, London, UK","IB","front room of 1st floor damaged",51.4601793,-0.0459739,"Southwark"
"210",1940-09-07 18:00:00,"Thornham Street Greenwich SE10, London, UK","EB","20 private houses damaged",51.4806,-0.01478,"Greenwich"
"211",1940-09-07 18:00:00,"46-48 Comerford Road, 41-53 Comerford Road, Brockley, SE4, London, UK","EB","two buildings damged",NA,NA,NA
"212",1940-09-07 18:00:00,"12 Buckthorne Road, Corfton Park SE4, London, UK","IB","First floor damaged",51.4525744,-0.0410113,"Lewisham"
"213",1940-09-07 18:00:00,"Morden Wharf Road, Greenwich SE10, London, UK","EB.and.IB","Firmin & Co. Sack and bag manufactures. Range of buildings  200x180 used as workshops severely damaged",51.493819,0.00443,"Greenwich"
"214",1940-09-07 18:00:00,"Tunnel Avenue, Greenwich, SE10, London, UK","EB.and.IB","Henry Froud, Haulage contractors, 120x40 severely damged",51.489445,0.008867,"Greenwich"
"215",1940-09-07 18:00:00,"Tunnel Avenue, Greenwich, SE10, London, UK","IB","Greenwich borough council, 4x3 asphalt paving damage",51.489445,0.008867,"Greenwich"
"216",1940-09-07 18:00:00,"58 Sydenham Road, Sydenham, SE26, London, UK","EB","Shop and house of 5 rooms damaged. 6 shops opposite and adjoining damaged by explosion. One Section officer AFS injured",51.3809061,-0.0945262,"Croydon"
"217",1940-09-07 18:00:00,"40 Batavia Road, New Cross SE14, London, UK","IB","back rooms 1st floor damaged and 4x3 roof damage",51.4759926,-0.0387475,"Lewisham"
"218",1940-09-07 18:00:00,"Swedish yard, Surrey, Commercial Docks, SE16, London, UK","COB","stack of timber and 30x20 damaged",51.499399,-0.127391048333331,"Westminster"
"219",1940-09-07 18:00:00,"Barnards Wharf 341, Rotherhithe Street, SE16, London, UK","IB","Timber Merchants, 200x200 two floor buildings, 2/3 content lost.",51.5019456,-0.0333414,"Southwark"
"220",1940-09-07 18:00:00,"Rotherhithe Street, SE16, London, UK","IB","Wharfingers. 300x100 1-3 floor buildings, contents severely damaged",51.500949,-0.056106,"Southwark"
"221",1940-09-07 18:00:00,"299 Rotherhithe Street, SE16, London, UK","IB","Timber Merchants, 500x400  and 4/5 of contents severely damaged",51.5017508,-0.0333403,"Southwark"
"222",1940-09-07 18:00:00,"Redriff School, Rotherhithe Street, SE16, London, UK","IB","range of buildings between 1-4 floors, covering 200x200 severely damaged",51.5068875,-0.0418882,"Southwark"
"223",1940-09-07 18:00:00,"1 Redriff Road, Rotherhithe, SE16, London, UK","EB","Many buildings in this thorough fare are severely damaged",51.49449445,-0.0458973755447185,"Southwark"
"224",1940-09-07 18:00:00,"12 Jewel Street, Stepney E1, London, UK","IB","Front room on first floor and contents damaged. Ceiling slightly under by water",51.516152,-0.046262,"Tower Hamlets"
"225",1940-09-07 18:00:00,"128 Aylward Street, Stepney E1, London, UK","IB","Timber yard and offices of two floors and contents severely damaged",51.5159751,-0.0462106,"Tower Hamlets"
"226",1940-09-07 18:00:00,"Wapping Wall E1, London, UK","IB","Metropolitan Wharf-A building of 2 floors about 100 x 60 feet ( used as warehouse office and store) severely damaged",51.5065501,-0.0528522,"Tower Hamlets"
"227",1940-09-07 18:00:00,"Sidney Street Stepney E1, London, UK",NA,"Minor fire and explosion damage",51.5199174,-0.0562907,"Tower Hamlets"
"228",1940-09-07 18:00:00,"Greenwich foot subway, London, UK","EB","London County Council. 60 ft of tunnel and lift shaft on north side damaged",51.4849398,-0.00974260605877263,NA
"229",1940-09-07 18:00:00,"39 Saundersness Road, Cubitt Town, E14., London, UK","EB","20 houses damaged",51.492132,-0.011108,"Tower Hamlets"
"230",1940-09-07 18:00:00,"Nos. 81-8 Yarrow House, Glengall Grove, Millwall, E14, London, UK","EB","Three 4-floor buildings, and contents damaged",51.4952744,-0.010925,"Tower Hamlets"
"231",1940-09-07 18:00:00,"8 Maudesley House, Glengall Grove, Millwall, E14, London, UK","EB","Rest of street of 48 houses damaged by breakage",51.4952744,-0.010925,"Tower Hamlets"
"232",1940-09-07 18:00:00,"8 Hibbert House, Glengall Grove, Millwall, E1, London, UK","EB","Rest of street of 48 houses damaged by breakage",51.4952319,-0.0107574,"Tower Hamlets"
"233",1940-09-07 18:00:00,"332 Hibbert House, Glengall Grove, Millwall, E1, London, UK","EB","Rest of street of 48 houses damaged by breakage",51.4964775,-0.0240621560617759,"Tower Hamlets"
"234",1940-09-07 18:01:00,"39 Whitbread Road, 31-49 Whitbread Road, Brockley, SE4, London, UK","EB","10 private houses damaged",51.41734595,-0.0851118500000118,"Croydon"
"235",1940-09-07 18:01:00,"2a Kneller Road, Brockley, SE4, London, UK","IB","Middle room damaged",51.4609225,-0.0380983,"Lewisham"
"236",1940-09-07 18:01:00,"3 Kneller Road, Brockley, SE4, London, UK","IB","Front room on 1st floor severely damaged",51.4609225,-0.0380983,"Lewisham"
"237",1940-09-07 18:01:00,"Sutton Dweillings, Chilton Grove, Deptford, SE8, London, UK","IB","front room on 1st floor damaged.",51.5420244,-0.104141617870104,"Islington"
"238",1940-09-07 18:01:00,"Greenstead Road, Deptford SE8, London, UK","IB","IB burned out in street",51.513263,-0.089878,"City of London"
"239",1940-09-07 18:01:00,"Well St, Hackney, E9, London, UK","IB","London Passenger Transport Board- An Omnibus Reg. No. EXV 246. Top deck severely damaged. Lower deck slightly damaged",51.5416308,-0.0489372,"Hackney"
"240",1940-09-07 18:01:00,"360 Stepney Way, E1, London, UK","IB","2x2 Roof damage",51.517383,-0.0539466,"Tower Hamlets"
"241",1940-09-07 18:01:00,"10 Stepney High Street, E1, London, UK","IB","4x2 roof damage",51.5172723,-0.0426336,"Tower Hamlets"
"242",1940-09-07 18:01:00,"42 Stephney High Street E1, London, UK","IB","Timber shed, 30x10 (used as store) damaged",51.513263,-0.089878,"City of London"
"243",1940-09-07 18:01:00,"Aylward Street London E1 OQW, London, UK","EB.and.IB","Minor fire damage in this area",51.5158329,-0.0475542,"Tower Hamlets"
"244",1940-09-07 18:01:00,"Westferry Road, Millwall, E14, London, UK","EB","Lead and Zinc Manufacturers. 40 x20 of wharfside and a 60x40 building, office and machine room, damaged",51.5061511,-0.0273031,"Tower Hamlets"
"245",1940-09-07 18:02:00,"Old Kent Road, SE1, London, UK","EB","Belonging to South Metropolitan Gas Works: 3, 000, 000 cubic feet of gas destroyed and a gas holder severely damaged. A range of buildings including work rooms, showrooms and offices damaged by fire.",51.4989327,-0.0736274,"Southwark"
"246",1940-09-07 18:02:00,"Devon Street, SE1, London, UK","EB","All buildings in this thoroughfare damaged by explosion",51.513263,-0.089878,"City of London"
"247",1940-09-07 18:02:00,"St. Catherine's Church,Pepys Rd, Lewisham, London SE14, United Kingdom, London, UK","EB","Nave severely damaged by fire and most of roof is off.",51.4729224,-0.0453632,"Lewisham"
"248",1940-09-07 18:02:00,"3 Blackheath Vale, Blackheath SE3, London, UK","IB","Back room on 1st floor and contents damaged",51.513263,-0.089878,"City of London"
"249",1940-09-07 18:02:00,"22 Blackheath Vale, Blackheath SE3, London, UK","IB","Groundfloor passage damaged.",51.4691712,0.0042574,"Lewisham"
"250",1940-09-07 18:02:00,"48 Eglinton Hill, Plumstead, SE18, London, UK","EB","All private houses damaged",51.4746692,0.06939,"Greenwich"
"251",1940-09-07 18:02:00,"Brent Road, Plumstead, SE18, London, UK","EB","All private houses damaged",51.5150179,0.0213155,"Newham"
"252",1940-09-07 18:02:00,"Trundley's Road, Deptford, SE16, London, UK","IB","9 privates houses damaged",51.4871313,-0.0433041,"Lewisham"
"253",1940-09-07 18:02:00,"Milborne St, Hackney E9, London, UK","IB","Milbourne Piano Works, building of 3 floors, 30 x 20ft used as workrooms, offices and stores, about 14 x 1oft or roof damaged. Doors broken open. Ceiling and contents under by water",51.5431252,-0.0490081,"Hackney"
"254",1940-09-07 18:02:00,"East India Dock Rd, London, UK
Poplar, Greater London E14, London, UK","IB","2x1 paving damage",51.510924,-0.018472,"Tower Hamlets"
"255",1940-09-07 18:02:00,"Thomas Road E14, London, UK","IB","1x1 paving damage",51.5146947,-0.0283306,"Tower Hamlets"
"256",1940-09-07 18:02:00,"Manchester Road, Cubitt Town, E14, London, UK","EB","40x 30 roadway damage. And Three houses each of 8 rooms and contents damaged",51.5008976,-0.0088069,"Tower Hamlets"
"257",1940-09-07 18:02:00,"Manchester Road, Cubitt Town, E14, London, UK","EB","40x 30 roadway damage. And Three houses each of 8 rooms and contents damaged",51.5008976,-0.0088069,"Tower Hamlets"
"258",1940-09-07 18:03:00,"Bolinn Road, Deptford, SE16, London, UK","IB","Shop and house of 6 rooms damaged by explosion. Also gas main fractured and about 30x20 of roadway damaged",51.4877978,-0.043622,"Lewisham"
"259",1940-09-07 18:03:00,"Avonley Road, Newcross, SE14, London, UK","EB","Owned by South Met Gas and Met Water and Deptford Borough Council, gas and water mains fractured and 40x16 of roadway damage",51.478873,-0.050414,"Lewisham"
"260",1940-09-07 18:03:00,"15-21 Hundson Road, Newcross, SE14, London, UK","EB","Four private houses damaged by explosion",51.49289755,-0.104157599999995,"Southwark"
"261",1940-09-07 18:03:00,"25, Upcott Street, SE15, London, UK","IB","Two private houses damaged by explosion",51.51521655,-0.0838780761174712,"City of London"
"262",1940-09-07 18:03:00,"Jeringham Road, Newcross, SE14, London, UK","IB","Building of two floors 100x 50, back room aand contents slightly damaged.",51.4736737,-0.0573427,"Southwark"
"263",1940-09-07 18:03:00,"26 Bushmoor Crescent, Plumstead, SE18, London, UK","EB","All private houses damaged",51.4740831,0.0713002,"Greenwich"
"264",1940-09-07 18:03:00,"22 Matlock Street, Poplar, Greater London E14 7, London, UK","IB","front room on 1st floor and contents damaged",51.51546635,-0.0396186986199187,"Tower Hamlets"
"265",1940-09-07 18:03:00,"Burdett Road, E3, London, UK","IB","2x1 paving damage",51.5176649,-0.0299186,"Tower Hamlets"
"266",1940-09-07 18:03:00,"Dudgeons Wharf, Manchester Road, Cubitt town, E14, London, UK","EB","40x10 brickworkand damaged",51.5008976,-0.0088069,"Tower Hamlets"
"267",1940-09-07 18:03:00,"Transporter Yard, East Ferry Road, Millwall, E14, London, UK","IB","20 Timber shed buildings each 10 x 6 ad 1 acre of undergrowth burned.",51.4944229,-0.0143504,"Tower Hamlets"
"268",1940-09-07 18:04:00,"207 Waller Road, Newcross, SE14, London, UK","IB","6x4 of GRASS burned in garden",51.4683523,-0.0470990108774984,"Lewisham"
"269",1940-09-07 18:04:00,"Riverway, Blackwall Lane, East Greenwich, SE10, London, UK","EB","40x30 roadway severely damged, gas main fractured, 20 private houses danaged",51.486011,0.007239,"Greenwich"
"270",1940-09-07 18:04:00,"Riverway, Blackwall Lane, East Greenwich, SE10, London, UK","EB","40x30 roadway severely damged, gas main fractured, 20 private houses danaged",51.486011,0.007239,"Greenwich"
"271",1940-09-07 18:04:00,"94-120, Riverway, Blackwall Lane, East Greenwich, SE10, London, UK","EB","40x30 roadway severely damged, gas main fractured, 20 private houses danaged",51.4839838,0.0014102,"Greenwich"
"272",1940-09-07 18:04:00,"100-108 Riverway, Blackwall Lane, East Greenwich, SE10, London, UK","EB","40x30 roadway severely damged, gas main fractured, 20 private houses danaged",51.4864147,0.0384078,"Greenwich"
"273",1940-09-07 18:04:00,"North Atlantic Import Shed, Finland Yard Surrey, Commercial Docks, SE16, London, UK","COB","4 floor building, 300x80 severely damaged",51.495852,-0.037898,"Southwark"
"274",1940-09-07 18:04:00,"2 Hick Street, Rotherhithe, SE16, London, UK","IB","front room on ground floor damaged.",51.5487166,-0.0792855081973888,"Islington"
"275",1940-09-07 18:04:00,"Priory Place, Well Street, Hackney E9, London, UK","IB","Front room on first floor and contents slightly damaged. 4 x 2ft of roof by breakage",51.5416308,-0.0489372,"Hackney"
"276",1940-09-07 18:04:00,"275 Bancroft Road, Tower Hamlets London E1, London, UK","IB","A3 block, about 6 x 4 ft of roof damaged. Ceiling and contents under slightly by water",51.5249543,-0.0432759,"Tower Hamlets"
"277",1940-09-07 18:04:00,"4 Ainsworth Road, Hackney, E2, London, UK","IB","House of 10 rooms, front room on top floor and contents severely damaged. Part of roof off. Rest of house and contents slightly damaged.",51.5387491,-0.050124,"Hackney"
"278",1940-09-07 18:04:00,"North Woolwich Roads E, London, UK","IB","Dumb barge damaged",51.513263,-0.089878,"City of London"
"279",1940-09-07 18:04:00,"307 Stepney Way E1, London, UK","IB","Private house of 6 rooms, back rooms, 2nd 3rd floors damaged",51.513263,-0.089878,"City of London"
"280",1940-09-07 18:04:00,"Glengall Grove, Millwall, E14, London, UK","EB.and.IB","Lancashire Freight Services Ltd. 1,2 and 3 floor buildings  covering 500x500 used as warehouses. Severely damaged",51.4952744,-0.010925,"Tower Hamlets"
"281",1940-09-07 18:05:00,"112 Waller Road, Newcross, SE14, London, UK","IB","Front room damaged by fire",51.4696738,-0.0481289289647691,"Lewisham"
"282",1940-09-07 18:05:00,"Lewisham High Street, Se13, London, UK","EB","Southern Met. Electric, light and Power) 100x40 four floor building. Space used as showroom",51.4505253,-0.0169312,"Lewisham"
"283",1940-09-07 18:05:00,"97 Ainsworth Road, Hackney E9, London, UK","IB","House of 12 rooms, front room on top floor and contents severely damaged. Part of roof off. Rest of building and contents slightly damaged.",51.5397153,-0.050745,"Hackney"
"284",1940-09-07 18:05:00,"Wellington Way Buildings, Wellington Way, Bow E3, London, UK","IB","Building of 3 floors about 60x 30 feet, (used as dwellings) about 1/2 of top floor and contents damaged. Roof damaged by breakage",51.513263,-0.089878,"City of London"
"285",1940-09-07 18:05:00,"Stebondale St, London, UK
Poplar, Greater London E14 3, London, UK","IB","A house and a Grocery shop of 6 rooms and contents severly damges",51.4883121,-0.0094641,"Tower Hamlets"
"286",1940-09-07 18:05:00,"Bow Rd, London, UK
Poplar, Greater London E3, London, UK","IB","St. Clement's Hospital. Mental observation home. 3x2 roof damage",51.5281444,-0.0229147,"Tower Hamlets"
"287",1940-09-07 18:05:00,"Old Gravel Lane, Wapping E1, London, UK","IB","Port of London Authority. 350x 120 one floor building, general warehouse, and contents severely damaged",51.513263,-0.089878,"City of London"
"288",1940-09-07 18:06:00,"Axminster Road, Holloway, N7, London, UK","EB","9x6 pavement damaged, fractures gas main in street",51.5609212,-0.118221,"Islington"
"289",1940-09-07 18:06:00,"Axminster Road, Holloway, N7, London, UK","EB","32 private houses thoroughfare damaged by explosion.",51.5609212,-0.118221,"Islington"
"290",1940-09-07 18:06:00,"Waller Road, Newcross, SE14, London, UK","IB","IB burned out in garden",51.472483,-0.048675,"Lewisham"
"291",1940-09-07 18:06:00,"Loampit Vale Lewisham, SE13, London, UK","EB","All builidings damaged",51.463453,-0.012605,"Lewisham"
"292",1940-09-07 18:06:00,"Canon Wharf, Evelyn Street, Deptford,SE8, London, UK","IB","stack of timber and 100x100x30 damaged",51.4900316,-0.0421094,"Lewisham"
"293",1940-09-07 18:06:00,"97 Stebondal Street Cubitt Town E14, London, UK","IB","Shop on ground floor and contents severely damaged",51.492132,-0.011108,"Tower Hamlets"
"294",1940-09-07 18:06:00,"48 Stebondale Street, Cubitt Town E14, London, UK","IB","Front room on first floor and contents severely damaged",51.4901045,-0.00836916825209657,"Tower Hamlets"
"295",1940-09-07 18:06:00,"75, Stebondale Street Cubitt Town E14, London, UK","IB","Front room on first floor and contents damaged",51.4883121,-0.0094641,"Tower Hamlets"
"296",1940-09-07 18:06:00,"White Horse Rd, Tower Hamlets, London E1, UK, London, UK","EB.and.IB","Minor fire damage in this area",51.5135392,-0.0408311,"Tower Hamlets"
"297",1940-09-07 18:07:00,"Childeric Road, Newcross, SE14, No's 21-61 and 10 40, London, UK","EB","37 Private houses damaged by explosion",51.4771728,-0.0377901,"Lewisham"
"298",1940-09-07 18:07:00,"Ruddigore Road, Newcross, SE14, No's 2-16 and 1-9 , London, UK","EB","13 private houses damaged by explosion",51.5722732,-0.2958081,"Brent"
"299",1940-09-07 18:07:00,"Ruddigore Road, Newcross, SE14, , London, UK","EB","Fractures gas mains",51.515401,-0.1305917,"Westminster"
"300",1940-09-07 18:07:00,"12 St Austell Rd, Lewisham, Greater London SE13 7, London, UK","IB","Garage 20x15 Damaged with fencing",51.468001,-0.00718,"Lewisham"
"301",1940-09-07 18:07:00,"Morden Wharf Road, Greenwich SE10, London, UK","EB","Cement Marketing, range of buildings lost, 300x100 ft damaged. P.678 heavy unit damaged by shrapnel",51.493819,0.00443,"Greenwich"
"302",1940-09-07 18:07:00,"Tunnel Avenue, Greenwich, SE10, London, UK","EB.and.IB","Delta Metal Co. Ltd. 80x40 size offices and stores and contents. Roof off. 3 auxiliary firemen injured.",51.489445,0.008867,"Greenwich"
"303",1940-09-07 18:07:00,"215 Brockley Road, Forest Hill, SE23, London, UK","IB","2x1 roof damage",51.4629257,-0.0357462,"Lewisham"
"304",1940-09-07 18:07:00,"110 Gosterwood Street, Deptford, SE8, London, UK","IB","9x6 roof damaged",51.4839812,-0.0381531479744896,"Lewisham"
"305",1940-09-07 18:07:00,"81 Plough Way, Rotherhithe SE16, London, UK","EB","St. Barnabas National School & Minetts Saw Mills Ltd. Dining Room, Grocers and 17 private houses all damaged,",51.4927306,-0.0405634,"Southwark"
"306",1940-09-07 18:07:00,"4 Ainsworth RD, Hackney, E9, London, UK","IB","Front rooms on 3rd floor and contents severely damaged. part of roof off, ceilings and contents under by water.",51.5397153,-0.050745,"Hackney"
"307",1940-09-07 18:07:00,"Addington Road, Bow E3, London, UK","IB","About 6 x 4ft of roofing slightly damaged.",51.3474273,-0.0519826,"Croydon"
"308",1940-09-07 18:07:00,"86, Manchester Road, Cubitt Town E14, London, UK","EB","Caterer-A building of 3 floors about 40x 20 ft used as refreshment bar, swelling and store, upper part and contents damaged.",51.4875192,-0.0103969,"Tower Hamlets"
"309",1940-09-07 18:07:00,"9 Merchant Street Bow, E3, London, UK","IB","2x1 roof damage",51.5260148,-0.0272722,"Tower Hamlets"
"310",1940-09-07 18:07:00,"33 Merchant Street, Bow, E3, London, UK","IB","front room on 1st floor and contents damaged",51.5260148,-0.0272722,"Tower Hamlets"
"311",1940-09-07 18:07:00,"78 Merchant Street, Bow, E3, London, UK","IB","Back room on 1st floor damaged. 2x1 roof damage",51.5260148,-0.0272722,"Tower Hamlets"
"312",1940-09-07 18:08:00,"13 Bartram Road, Brockley, SE4, London, UK","IB","Back room on 1st floor and contents damaged",51.452888,-0.0395366857142852,"Lewisham"
"313",1940-09-07 18:08:00,"11 Bartram Road, Brockley, SE4, London, UK","IB","Back room on 1st floor and contents damaged",51.45289635,-0.0394563272257573,"Lewisham"
"314",1940-09-07 18:08:00,"75 Chilton Grove,Deptford SE8, London, UK","IB","house of 8 rooms damaged",51.4914752,-0.041941,"Southwark"
"315",1940-09-07 18:08:00,"Stepney Green, E1, London, UK","IB","1x1 tarmac damaged",51.5177487,-0.0427772,"Tower Hamlets"
"316",1940-09-07 18:08:00,"Stepney Causeway, Stepney, E1, London, UK","IB","Training Hostel. 4 floor building, top floors and basement severely damaged.",51.5125237,-0.0451339,"Tower Hamlets"
"317",1940-09-07 18:08:00,"Latimer Street, Stepney, E1, London, UK","EB.and.IB","Minor fire damage in this area",51.513263,-0.089878,"City of London"
