original_,original_Location,lat,lon,formatted,housenumber,name,street,postcode,district,suburb,county_code,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
85,"Caldecot Road, Camberwell, SE5, London, UK",51.4697232,-0.0942345,"Caldecot Road, London, SE5 9RL, United Kingdom",,Caldecot Road,Caldecot Road,SE5 9RL,London Borough of Lambeth,Loughborough Junction,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
86,"31a Morecambe Street , SE17, London, UK",51.4895551,-0.0927894,"Morecambe Street, London, SE17 1DX, United Kingdom",,Morecambe Street,Morecambe Street,SE17 1DX,London Borough of Southwark,Walworth,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
87,"Browning Street, King and Queen Street, SE17, London, UK",51.51327095,-0.09265118051007576,"The Golden Fleece, 8-9 Queen Street, City of London, EC4N 1SP, United Kingdom",8-9,The Golden Fleece,Queen Street,EC4N 1SP,,Cheap,,City of London,Greater London,England,ENG,United Kingdom,gb,0.405,0.81,0.405,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
88,"24 Coleridge Buildings, King and Queen Street, SE17, London, UK",51.4889275,-0.093149,"King and Queen Street, London, SE17 1DR, United Kingdom",,King and Queen Street,King and Queen Street,SE17 1DR,London Borough of Southwark,Walworth,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
89,"43 Browing Street, SE17, London, UK",51.514997,-0.13588221469114606,"R.M.Williams, 43, 43A Berwick Street, London, W1F 8SQ, United Kingdom","43, 43A",R.M.Williams,Berwick Street,W1F 8SQ,Westminster,Soho,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
90,"15 Manor Place, SE17, London, UK",51.4891466,-0.0973514,"15 Manor Place, London, S E17, United Kingdom",15,,Manor Place,S E17,Southwark,Walworth,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
91,"Larcombe Street, SE17, London, UK",51.490413700000005,-0.15174095930207054,"St Barnabas, St. Barnabas Street, London, SW1W 8PF, United Kingdom",,St Barnabas,St. Barnabas Street,SW1W 8PF,Westminster,Belgravia,,London,Greater London,England,ENG,United Kingdom,gb,0.567,1,0.567,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
92,"Oldfield Grove, Rotherithe SE16, London, UK",51.499513750000006,-0.1895334461904033,"16 South End, London, W8 5BU, United Kingdom",16,,South End,W8 5BU,Royal Borough of Kensington and Chelsea,South Kensington,,London,Greater London,England,ENG,United Kingdom,gb,0.81,1,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93,"99 Larkhall lane, Clapham SW4, London, UK",51.4735516,-0.1277687,"Larkhall Lane, London, SW4 6RQ, United Kingdom",,Larkhall Lane,Larkhall Lane,SW4 6RQ,London Borough of Lambeth,Stockwell,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
94,"99 Larkhall lane, Clapham SW4, London, UK",51.4735516,-0.1277687,"Larkhall Lane, London, SW4 6RQ, United Kingdom",,Larkhall Lane,Larkhall Lane,SW4 6RQ,London Borough of Lambeth,Stockwell,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
95,"51 Paradise Road, Clapham, SW4, London, UK",51.4606041,-0.3004447,"Paradise Road, London, TW9 1SA, United Kingdom",,Paradise Road,Paradise Road,TW9 1SA,London Borough of Richmond upon Thames,North Sheen,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
96,"Vauxhall Bridge Road Pimlico SW1, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
97,"7 Pembroke Gardens, Kensington w8, London, UK",51.4956989,-0.2002596,"7 Pembroke Gardens, London, W8 6HT, United Kingdom",7,,Pembroke Gardens,W8 6HT,Royal Borough of Kensington and Chelsea,Earl's Court,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
98,"Jeffreys Road, Clapham SW4, London, UK",51.648508,-0.029447,"Jeffreys Road, London, EN3 7UA, United Kingdom",,Jeffreys Road,Jeffreys Road,EN3 7UA,London Borough of Enfield,Ponders End,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
99,"Peel House, Regency St, Horseferry Road SW1, London, UK",51.49124,-0.132078,"Peel House, London, SW1P 4AT, United Kingdom",,,Peel House,SW1P 4AT,Westminster,Westminster,,London,Greater London,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
100,"Vauxhall Walk, Lambeth, Se11, London, UK",51.48946359999999,-0.1160241230306141,"Vauxhall Walk, London, S E11, United Kingdom",,Vauxhall Walk,,S E11,London Borough of Lambeth,Lambeth,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
101,"Stillington Street, Westminster, SW1, London, UK",51.494225,-0.138053,"Stillington Street, London, SW1P 1EF, United Kingdom",,,Stillington Street,SW1P 1EF,Westminster,Victoria,,City of Westminster,Greater London,England,ENG,United Kingdom,gb,0.7,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
102,"Lillington Street, Pimlico, SW1, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
103,"108, Earls Court Road, w8, London, UK",51.4945178,-0.1954319,"108 Earl's Court Road, London, United Kingdom",108,,Earl's Court Road,,Kensington and Chelsea,Earl's Court,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
104,"79-83c Lexham Gardens, w8, London, UK",51.495946,-0.191251,"Lexham Gardens, London, United Kingdom",,,Lexham Gardens,,Kensington and Chelsea,South Kensington,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
105,"36 Willow Way, Sydenahm, SE26, London, UK",51.40495305,-0.029925549999999055,"36 Village Way, London, BR3 3NN, United Kingdom",36,,Village Way,BR3 3NN,London Borough of Bromley,Beckenham,,London,Greater London,England,ENG,United Kingdom,gb,0.5727272727272728,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
106,"Lydhurst Avenue, Streatham Hill, SW2, London, UK",51.4368178,-0.1178586,"Lydhurst Avenue, London, SW2 3FE, United Kingdom",,Lydhurst Avenue,Lydhurst Avenue,SW2 3FE,London Borough of Lambeth,Streatham Hill,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
107,"Lydhurst Avenue, Streatham Hill, SW2, London, UK",51.4368178,-0.1178586,"Lydhurst Avenue, London, SW2 3FE, United Kingdom",,Lydhurst Avenue,Lydhurst Avenue,SW2 3FE,London Borough of Lambeth,Streatham Hill,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
108,"Keymer Road, SW2, London, UK",51.4367796,-0.1192677,"Keymer Road, London, SW2 3AW, United Kingdom",,Keymer Road,Keymer Road,SW2 3AW,London Borough of Lambeth,Streatham Hill,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
109,"Faygate Road, SW2, London, UK",51.4373981,-0.1205396,"Faygate Road, London, SW2 3AS, United Kingdom",,Faygate Road,Faygate Road,SW2 3AS,London Borough of Lambeth,Streatham Hill,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
110,"20 Albert Embankment, Se11, London, UK",51.491016200000004,-0.12138234004206445,"The Corniche - Tower Three, 20 Albert Embankment, London, SE1 7GS, United Kingdom",20,The Corniche - Tower Three,Albert Embankment,SE1 7GS,London Borough of Lambeth,Vauxhall,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
111,"Albert Embankment, SE11, London, UK",51.4863869,-0.1233845,"Albert Embankment, London, SW8 1SP, United Kingdom",,Albert Embankment,Albert Embankment,SW8 1SP,London Borough of Lambeth,Vauxhall,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
112,"Vauxhall Bridge Road, Pimlico, SW1, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
113,"York Hill, West Norwood, SE27, London, UK",51.435581,-0.106822,"York Hill, London, S E27, United Kingdom",,,York Hill,S E27,Lambeth,West Norwood,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
114,"Winton Lodge, Crown Lane Streatham, SW16, London, UK",51.4231729,-0.1095698,"Crown Lane, London, SW16 3JF, United Kingdom",,Crown Lane,Crown Lane,SW16 3JF,London Borough of Croydon,Upper Norwood,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
115,"Copenhagen Place, London, UK
Poplar, Greater London E14 7, London, UK",51.5150522,-0.0302606,"Copenhagen Place, London, E14 7DE, United Kingdom",,Copenhagen Place,Copenhagen Place,E14 7DE,London Borough of Tower Hamlets,Limehouse,,London,Greater London,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
116,"Bow Road E3, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
117,"Salmon Lane, London, UK
Poplar, Greater London E14,, London, UK",51.512511,-0.031892,"Salmon Lane, London, E14, United Kingdom",,,Salmon Lane,E14,Tower Hamlets,Limehouse,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
118,"38 Collingtree Road, SE26, London, UK",51.4293008,-0.0563388,"Collingtree Road, London, SE26 4LQ, United Kingdom",,Collingtree Road,Collingtree Road,SE26 4LQ,London Borough of Lewisham,Forest Hill,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
119,"43 Ellerslie Square, Clapham SW4, London, UK",51.4580342,-0.1277051,"Ellerslie Square, London, SW4 8DT, United Kingdom",,Ellerslie Square,Ellerslie Square,SW4 8DT,London Borough of Lambeth,Clapham Park,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
120,"5 Hermitage Lane, Streatham, SW16, London, UK",51.4146307,-0.1238863,"Hermitage Lane, London, SW16 3AN, United Kingdom",,Hermitage Lane,Hermitage Lane,SW16 3AN,London Borough of Croydon,Norbury,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
121,"Stonhouse Street, Clapham, SW4, London, UK",51.4628707,-0.1364613,"Stonhouse Street, London, SW4 6BB, United Kingdom",,Stonhouse Street,Stonhouse Street,SW4 6BB,London Borough of Lambeth,Clapham Park,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
122,"Alexandra Mansions, 140, Stonhouse Street, Clapham SW4, London, UK",51.4628707,-0.1364613,"Stonhouse Street, London, SW4 6BB, United Kingdom",,Stonhouse Street,Stonhouse Street,SW4 6BB,London Borough of Lambeth,Clapham Park,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
123,"Bellenden Road, Peckham, SE15, London, UK",51.469389,-0.072737,"Bellenden Road, London, S E15, United Kingdom",,,Bellenden Road,S E15,Southwark,Peckham,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
124,"18-34 and 13-39 (inclusive) (23 buildings), London, UK",51.516124,-0.130633,"13, London, United Kingdom",,,13,,Westminster,Soho,,London,Greater London,England,ENG,United Kingdom,gb,0.0567,0.42857142857142855,0.21428571428571427,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
125,"Sheffield House, 3, 5 and 7 (3 buildings) , London, UK",51.516237,-0.130478,"5, London, United Kingdom",,,5,,Camden,Soho,,London,Greater London,England,ENG,United Kingdom,gb,0.08401579199999999,0.3969,0.3969,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
126,"Bellenden Road, Peckham, SE15, London, UK",51.469389,-0.072737,"Bellenden Road, London, S E15, United Kingdom",,,Bellenden Road,S E15,Southwark,Peckham,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
127,"Putney Heath, Putney SW15, London, UK",51.440702200000004,-0.23486161830048102,"Putney Heath, Putney Vale, London, ENG, United Kingdom",,Putney Heath,,,London Borough of Wandsworth,Putney Vale,,London,Greater London,England,ENG,United Kingdom,gb,0.7,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
128,"52 and 54 Danby Street, Peckham SE15, London, UK",51.4662797,-0.07502880000000073,"54 Danby Street, London, SE15 4AN, United Kingdom",54,,Danby Street,SE15 4AN,London Borough of Southwark,Peckham,,London,Greater London,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
129,"31 Parkhouse Street, Peckham SE15, London, UK",51.4808296,-0.0869693,"Parkhouse Street, London, SE5 7TR, United Kingdom",,Parkhouse Street,Parkhouse Street,SE5 7TR,London Borough of Southwark,Camberwell,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
130,"160 Rye Lane Peckham, SE15, London, UK",51.46788305,-0.06745330870569854,"160 Rye Lane, London, SE15 4RW, United Kingdom",160,,Rye Lane,SE15 4RW,London Borough of Southwark,Peckham,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
131,"Southamton Way, Peckham SE15, London, UK",51.52362,-0.137031,"Grafton Way Building, 1 Grafton Way, London, S E15, United Kingdom",1,Grafton Way Building,Grafton Way,S E15,Camden,Fitzrovia,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
132,"19 St. George's Way, Peckham SE15, London, UK",51.481802,-0.079786,"St Georges Way, London, S E15, United Kingdom",,,St Georges Way,S E15,Southwark,Camberwell,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
133,"Choumert Road, peckham SE15, London, UK",51.467481,-0.072401,"Choumert Road, London, S E15, United Kingdom",,,Choumert Road,S E15,Southwark,Peckham,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
134,"Harris Street, Camberwell SE5, London, UK",51.5711437,-0.0276002,"Harris Street, London, E17 8HD, United Kingdom",,Harris Street,Harris Street,E17 8HD,London Borough of Waltham Forest,Leyton,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
135,"Wells Way, Southwark, London SE5, United Kingdom, London, UK",51.4838526,-0.086117,"Wells Way, London, SE17 2DF, United Kingdom",,Wells Way,Wells Way,SE17 2DF,London Borough of Southwark,Walworth,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
136,"Bessemer Road, Camberwell, SE5, London, UK",51.4691203,-0.092427,"Bessemer Road, London, SE5 9RW, United Kingdom",,Bessemer Road,Bessemer Road,SE5 9RW,London Borough of Lambeth,Loughborough Junction,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
137,"88 Kennington Park Road, Se11, London, UK",51.4895121,-0.1047305,"88 Kennington Park Road, London, S E11, United Kingdom",88,,Kennington Park Road,S E11,Lambeth,Kennington,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
138,"Westwood Park, Forest Hill, SE23, London, UK",51.43625515,-0.05571299063731013,"Forest Hill Pools, Dartmouth Road, London, SE26 4QY, United Kingdom",,Forest Hill Pools,Dartmouth Road,SE26 4QY,London Borough of Lewisham,Forest Hill,,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
139,"Richmond Park, Roehampton, SW15, London, UK",51.4450806,-0.24885444800538567,"Richmond Park Golf Course, Drive, London, SW15 3EB, United Kingdom",,Richmond Park Golf Course,Central Drive,SW15 3EB,London Borough of Wandsworth,Putney Vale,,London,Greater London,England,ENG,United Kingdom,gb,0.567,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
140,"9 Colworth Grove, Browing Street, SE17, London, UK",51.5206503,-0.107845,"9 St Cross Street, London, EC1N 8UN, United Kingdom",9,,St Cross Street,EC1N 8UN,London Borough of Camden,Holborn,,London,Greater London,England,ENG,United Kingdom,gb,0.81,1,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
141,"Hayles Stret. St. George's Road, SE11, London, UK",51.495515,-0.102844,"St George's Road, London, S E11, United Kingdom",,,St George's Road,S E11,Southwark,Elephant and Castle,,London,Greater London,England,ENG,United Kingdom,gb,0.6,1,0.6,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
142,"Colworth Grove, Browinging Street SE17, London, UK",51.51668385,-0.11936737923024118,"St Anselm and St Cecilia, 310 Kingsway, London, WC2A 3JA, United Kingdom",310,St Anselm and St Cecilia,Kingsway,WC2A 3JA,London Borough of Camden,Holborn,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
143,"Browning Street, SE17, London, UK",51.490099,-0.09458,"Browning Street, London, S E17, United Kingdom",,,Browning Street,S E17,Southwark,Walworth,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
144,"42 Braganza Street SE17, London, UK",51.4874007,-0.1037912,"42 Braganza Street, London, S E17, United Kingdom",42,,Braganza Street,S E17,Southwark,Walworth,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
145,"77 Brook Drive, SE11, London, UK",51.4935672,-0.1032337,"Brook Drive, London, SE11 4TW, United Kingdom",,Brook Drive,Brook Drive,SE11 4TW,London Borough of Southwark,Elephant and Castle,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
146,"4g, Chapter Strret, Westminster SW1, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
147,"22 Horniman Drive, Forest hill, SE23, London, UK",51.4444656,-0.0581185,"Horniman Drive, London, SE23 3BJ, United Kingdom",,Horniman Drive,Horniman Drive,SE23 3BJ,London Borough of Lewisham,Forest Hill,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
148,"71 Casewick Road, West Norwood, Se27, London, UK",51.4303374,-0.1065802,"Casewick Road, London, SE27 0SX, United Kingdom",,Casewick Road,Casewick Road,SE27 0SX,London Borough of Lambeth,West Norwood,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
149,"96 Longley Road Tooting, SW17, London, UK",51.4201203,-0.1628813,"Longley Road, London, SW17 9JR, United Kingdom",,Longley Road,Longley Road,SW17 9JR,London Borough of Wandsworth,Tooting Graveney,,London,Greater London,England,ENG,United Kingdom,gb,0.47250000000000003,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
150,"125 Wavertree Road, Streatham hill, SW2, London, UK",51.5941171,0.0264386,"Wavertree Road, London, E18 1BL, United Kingdom",,Wavertree Road,Wavertree Road,E18 1BL,London Borough of Redbridge,South Woodford,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
151,"Morval Road, Brixton, SW2, London, UK",51.4559684,-0.1130116,"Morval Road, London, SW2 1DQ, United Kingdom",,Morval Road,Morval Road,SW2 1DQ,London Borough of Lambeth,Herne Hill,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
152,"Barrow Road, Streamtham, SW16, London, UK",51.3600942,-0.1128942,"Barrow Road, London, CR0 4EY, United Kingdom",,Barrow Road,Barrow Road,CR0 4EY,London Borough of Croydon,Waddon,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
153,"Barrow Road, Streamtham, SW16, London, UK",51.3600942,-0.1128942,"Barrow Road, London, CR0 4EY, United Kingdom",,Barrow Road,Barrow Road,CR0 4EY,London Borough of Croydon,Waddon,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
154,"Barrow Road, Streamtham, SW16, London, UK",51.3600942,-0.1128942,"Barrow Road, London, CR0 4EY, United Kingdom",,Barrow Road,Barrow Road,CR0 4EY,London Borough of Croydon,Waddon,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
155,"Bladen Court, Barrow Road, SW16, London, UK",51.3600942,-0.1128942,"Barrow Road, London, CR0 4EY, United Kingdom",,Barrow Road,Barrow Road,CR0 4EY,London Borough of Croydon,Waddon,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
156,"Crescent Grove, Clapham, SW4, London, UK",51.3969666,-0.1736337,"Crescent Grove, London, CR4 4BL, United Kingdom",,Crescent Grove,Crescent Grove,CR4 4BL,London Borough of Merton,Mitcham,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
157,"29 Tyrell Road, East Dulwich, SE2, London, UK",51.454321,-0.074579,"East Dulwich, London, ENG, United Kingdom",,East Dulwich,,,Southwark,East Dulwich,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
158,"Garratt Lane, Tooting, Sw17, London, UK",51.428095,-0.168108,"Garratt Lane, London, S W17, United Kingdom",,,Garratt Lane,S W17,Wandsworth,Tooting,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
159,"71 Graveney Road, tooting SW17, London, UK",51.429674500000004,-0.1701356153302296,"71 Graveney Road, London, SW17 0EL, United Kingdom",71,,Graveney Road,SW17 0EL,London Borough of Wandsworth,Tooting Graveney,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
160,"Brook Drive, Se11, London, UK",51.493983,-0.106606,"Brook Drive, London, S E11, United Kingdom",,,Brook Drive,S E11,Lambeth,Kennington,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
161,"Brook Drive, Se11, London, UK",51.493983,-0.106606,"Brook Drive, London, S E11, United Kingdom",,,Brook Drive,S E11,Lambeth,Kennington,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
162,"6 Boulcott Street, E1, London, UK",51.5125748,-0.0421674,"6 Boulcott Street, London, E1 0HR, United Kingdom",6,,Boulcott Street,E1 0HR,Tower Hamlets,Shadwell,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
163,"Burdett Road, E3, London, UK",51.5176649,-0.0299186,"Burdett Road, London, E3 4LD, United Kingdom",,Burdett Road,Burdett Road,E3 4LD,London Borough of Tower Hamlets,Limehouse,,London,Greater London,England,ENG,United Kingdom,gb,0.3247363636363636,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
164,"12 Kingsmead Road, Streatham, SW16, London, UK",51.4374623,-0.1131042,"Kingsmead Road, London, SW2 3HY, United Kingdom",,Kingsmead Road,Kingsmead Road,SW2 3HY,London Borough of Lambeth,West Norwood,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
165,"Turguand Street, Walworth, SE17, London, UK",51.490413700000005,-0.15174095930207054,"St Barnabas, St. Barnabas Street, London, SW1W 8PF, United Kingdom",,St Barnabas,St. Barnabas Street,SW1W 8PF,Westminster,Belgravia,,London,Greater London,England,ENG,United Kingdom,gb,0.567,1,0.567,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
166,"Georgette Place Greenwich SE10, London, UK",51.47634,-0.007928,"Georgette Place, London, S E10, United Kingdom",,,Georgette Place,S E10,Greenwich,Greenwich,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
167,"47 Orient Street, Kennington SE11, London, UK",51.4945113,-0.1053625,"Orient Street, London, SE11 4SR, United Kingdom",,Orient Street,Orient Street,SE11 4SR,London Borough of Southwark,Elephant and Castle,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
168,"41 Church Road, Brixton, SW2, London, UK",51.4621651,-0.2989691,"41 Church Road, London, TW9 1UA, United Kingdom",41,,Church Road,TW9 1UA,London Borough of Richmond upon Thames,North Sheen,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
169,"Turner's Rd, London, UK
Tower Hamlets, London E3, London, UK",51.5167652,-0.0322597,"Turner's Road, London, E3 4LF, United Kingdom",,Turner's Road,Turner's Road,E3 4LF,London Borough of Tower Hamlets,Limehouse,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
