original_,original_Location,lat,lon,formatted,housenumber,name,street,postcode,district,county_code,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
91,"35 Basildon Road, Abbey Wood, SE2, London, UK",51.4860733,0.1071688,"Basildon Road, London, SE2 0ET, United Kingdom",,Basildon Road,Basildon Road,SE2 0ET,Royal Borough of Greenwich,,Abbey Wood,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
92,"Basildon Road, Abbey Wood, SE2, London, UK",51.485757,0.107042,"Basildon Road, London, SE2, United Kingdom",,,Basildon Road,SE2,Greenwich,,Abbey Wood,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93,"Cordelia Street, Poplar E14, London, UK",51.5136991,-0.01804,"Cordelia Street, London, E14 6AS, United Kingdom",,Cordelia Street,Cordelia Street,E14 6AS,London Borough of Tower Hamlets,,Poplar,London,Greater London,England,ENG,United Kingdom,gb,0.5154545454545454,0.7,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
94,"13 Cordelia Street, Poplar, E14, London, UK",51.5136975,-0.0193196,"13 Cordelia Street, London, E14 6AT, United Kingdom",13,,Cordelia Street,E14 6AT,Tower Hamlets,,Poplar,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
95,"Poplar High Street, Poplar, E14, London, UK",51.5088801,-0.0135081,"Poplar High Street, London, E14 0AS, United Kingdom",,Poplar High Street,Poplar High Street,E14 0AS,London Borough of Tower Hamlets,,Poplar,London,Greater London,England,ENG,United Kingdom,gb,0.7457142857142857,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
96,"The Vicarage, Poplar, E14, London, UK",51.540283349999996,-0.05892644691226566,"The Vicarage, 56 Lamb Lane, London, E8 3PJ, United Kingdom",56,The Vicarage,Lamb Lane,E8 3PJ,London Borough of Hackney,,Haggerston,London,Greater London,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
97,"Colin Street, Bromley-By-Bow E3, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
98,"Empson St, Bromley-By-Bow E3, London, UK",51.5221616,-0.0131847,"Empson Street, London, E3 3LY, United Kingdom",,Empson Street,Empson Street,E3 3LY,London Borough of Tower Hamlets,,Poplar,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
99,"Marner St School, Marner Street E3, London, UK",51.509648,-0.099076,"London, London Ceremonial County, ENG, United Kingdom",,,,,,,,London,Greater London Ceremonial County,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
100,"St. Leonards Wharf, Bromley E3, London, UK",51.518572,-0.010074,"St Leonard's Wharf, Poplar, London, ENG, United Kingdom",,St Leonard's Wharf,,,Tower Hamlets,,Poplar,London,Greater London,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
101,"242 Brunswick Rd, Poplar, E14, London, UK",51.631224450000005,-0.14985128713765544,"242 Brunswick Park Road, London, N11 1EX, United Kingdom",242,,Brunswick Park Road,N11 1EX,London Borough of Barnet,,Brunswick Park,London,Greater London,England,ENG,United Kingdom,gb,0.7,1,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
102,"242, Brunswick Rd, Poplar, E14, London, UK",51.631224450000005,-0.14985128713765544,"242 Brunswick Park Road, London, N11 1EX, United Kingdom",242,,Brunswick Park Road,N11 1EX,London Borough of Barnet,,Brunswick Park,London,Greater London,England,ENG,United Kingdom,gb,0.7,1,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
103,"240 Brunswick Rd, Poplar, E14, London, UK",51.6311802,-0.14981092761902048,"240 Brunswick Park Road, London, N11 1EX, United Kingdom",240,,Brunswick Park Road,N11 1EX,London Borough of Barnet,,Brunswick Park,London,Greater London,England,ENG,United Kingdom,gb,0.7,1,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
104,"240 Brunswick Rd, Poplar, E14, London, UK",51.6311802,-0.14981092761902048,"240 Brunswick Park Road, London, N11 1EX, United Kingdom",240,,Brunswick Park Road,N11 1EX,London Borough of Barnet,,Brunswick Park,London,Greater London,England,ENG,United Kingdom,gb,0.7,1,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
105,"Empson St Bromley E3, London, UK",51.5221616,-0.0131847,"Empson Street, London, E3 3LY, United Kingdom",,Empson Street,Empson Street,E3 3LY,London Borough of Tower Hamlets,,Poplar,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
106,"Colin Street, Bromley-By-Bow, E3, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
107,"Friendsliy Place, Greenwhich SE10, London, UK",51.504582,-0.021587,"10 South Colonnade, London, E14 4PU, United Kingdom",10,,South Colonnade,E14 4PU,Tower Hamlets,,Canary Wharf,London,Greater London,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
108,"26, Bruce Road, Poplar, Greater London E3 3, London, UK",51.5268502,-0.0147961,"Bruce Road, London, E3 3BT, United Kingdom",,Bruce Road,Bruce Road,E3 3BT,London Borough of Tower Hamlets,,Bow,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
109,"141 Albert Road, North Woolwich E16, London, UK",51.49990165,0.06287597262153011,"141-143 Albert Road, London, E16 2JD, United Kingdom",141-143,,Albert Road,E16 2JD,London Borough of Newham,,North Woolwich,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
110,"143 Albert Road, North Woolwich E16, London, UK",51.49990165,0.06287597262153011,"141-143 Albert Road, London, E16 2JD, United Kingdom",141-143,,Albert Road,E16 2JD,London Borough of Newham,,North Woolwich,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
111,"145 Albert Road, North Woolwich E16, London, UK",51.5000059,0.0623362,"Vida & Sons, 145 Albert Road, London, E16 2JD, United Kingdom",145,Vida & Sons,Albert Road,E16 2JD,London Borough of Newham,,North Woolwich,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
112,"147 Albert Road, North Woolwich E16, London, UK",51.5000015,0.0623881,"Sky Studios, 147 Albert Road, London, E16 2JN, United Kingdom",147,Sky Studios,Albert Road,E16 2JN,London Borough of Newham,,North Woolwich,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
113,"9 Sevenoaks Road Brokerley SE4, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
114,"11 Sevenoaks Road, Brockley, SE4, London, UK",51.453017,-0.037416650734022595,"11 Sevenoaks Road, London, SE4 1RA, United Kingdom",11,,Sevenoaks Road,SE4 1RA,London Borough of Lewisham,,Honor Oak,London,Greater London,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
115,"Bruce RD, Bromley E3, London, UK",51.5268502,-0.0147961,"Bruce Road, London, E3 3BT, United Kingdom",,Bruce Road,Bruce Road,E3 3BT,London Borough of Tower Hamlets,,Bow,London,Greater London,England,ENG,United Kingdom,gb,0.675,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
116,"459 Brockley Road, Brocklet SE4, London, UK",51.4537564,-0.0380405,"Brockley Road, London, SE4 2DH, United Kingdom",,Brockley Road,Brockley Road,SE4 2DH,London Borough of Lewisham,,Honor Oak,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
117,"Bruce RD, Bromley E3, London, UK",51.5268502,-0.0147961,"Bruce Road, London, E3 3BT, United Kingdom",,Bruce Road,Bruce Road,E3 3BT,London Borough of Tower Hamlets,,Bow,London,Greater London,England,ENG,United Kingdom,gb,0.675,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
118,"46 Bruce Rd, Bromley E3, London, UK",51.526941,-0.015022215293472883,"Clvde House, 46 Bruce Road, London, E3 3BT, United Kingdom",46,Clvde House,Bruce Road,E3 3BT,London Borough of Tower Hamlets,,Bow,London,Greater London,England,ENG,United Kingdom,gb,0.75,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
119,"142 Foxberry Road, Brockley, SE4, London, UK",51.4613516,-0.0360347,"Foxberry Road, London, SE4 2SU, United Kingdom",,Foxberry Road,Foxberry Road,SE4 2SU,London Borough of Lewisham,,Brockley,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
120,"75 ComerfordRoad Brockley se4, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
121,"Royal Arsenal, Woolwich, SE18, London, UK",51.499992,0.028734,"Royal Wharf, London, S E18, United Kingdom",,,Royal Wharf,S E18,Newham,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
122,"Creek Bridge, Creek Road, Greenwich SE10, London, UK",51.4809748,-0.0209403,"Creek Road, London, SE8 3BN, United Kingdom",,Creek Road,Creek Road,SE8 3BN,Royal Borough of Greenwich,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
123,"Three Mill Lane, Greater London E3 3, London, UK",51.5269713,-0.0106455,"Three Mill Lane, London, E3 3DA, United Kingdom",,Three Mill Lane,Three Mill Lane,E3 3DA,London Borough of Tower Hamlets,,Bow,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
124,"Edward Street SE14, London, UK",51.4804416,-0.031305,"Edward Street, London, SE8 5HD, United Kingdom",,Edward Street,Edward Street,SE8 5HD,London Borough of Lewisham,,New Cross,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
125,"35 Colwick Street Deptford SE8, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
126,"Deptford Park, Evelyn Street, Deptford, SE8, London, UK",51.4900316,-0.0421094,"Evelyn Street, London, SE8 5RQ, United Kingdom",,Evelyn Street,Evelyn Street,SE8 5RQ,London Borough of Lewisham,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
127,"Church hill Woolwich, SE18, London, UK",51.493177,0.057874,"Church Hill, London, S E18, United Kingdom",,,Church Hill,S E18,Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,0.7875,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
128,"Kingsman Street, Woolwich, SE18, London, UK",51.490861,0.057876,"Kingsman Street, London, S E18, United Kingdom",,,Kingsman Street,S E18,Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
129,"Sunsbury Street, Woolwich SE18, London, UK",51.522256,0.05880308301886474,"St Mary Magdalene, Norman Road, London, E6 6HN, United Kingdom",,St Mary Magdalene,Norman Road,E6 6HN,London Borough of Newham,,Beckton,London,Greater London,England,ENG,United Kingdom,gb,0.3969,1,0.3969,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
130,"Glenalvon Street, Woolwich SE18, London, UK",51.4690905,-0.0221846,"St Johns, Albyn Road, London, SE8 4DR, United Kingdom",,St Johns,Albyn Road,SE8 4DR,London Borough of Lewisham,,Deptford,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
131,"Woolwich Church Street, Woolwich SE18, London, UK",51.493529,0.058969,"Woolwich Church Street, London, S E18, United Kingdom",,,Woolwich Church Street,S E18,Greenwich,,Woolwich Dockyard,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
132,"Artillery Place, Wollwich SE18, London, UK",51.499803,0.035472,"South Periphery, London, S E18, United Kingdom",,,South Periphery,S E18,Newham,,Silvertown,London,Greater London,England,ENG,United Kingdom,gb,0.567,1,0.567,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
133,"Powis Street, Woolwich SE18, London, UK",51.491928,0.064748,"Powis Street, London, S E18, United Kingdom",,,Powis Street,S E18,Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
134,"Chapel Hill, Woolwich SE18, London, UK",51.490938,0.064657,"Woolwich, London, S E18, United Kingdom",,Woolwich,,S E18,Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
135,"Woolwich high Street, Woolwich SE18, London, UK",51.493851,0.065846,"Woolwich High Street, London, S E18, United Kingdom",,,Woolwich High Street,S E18,Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
136,"John Wilson Street, Woolwich SE18, London, UK",51.487759,0.063095,"John Wilson Street, London, S E18, United Kingdom",,,John Wilson Street,S E18,Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
137,"Plumstead Road, Woolwich SE18, London, UK",51.491073,0.0804436,"Plumstead Road, London, SE28 0EZ, United Kingdom",,Plumstead Road,Plumstead Road,SE28 0EZ,Royal Borough of Greenwich,,Plumstead,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
138,"Paradise Place Woolwich SE18, London, UK",51.489484,0.050086,"Paradise Place, London, S E18, United Kingdom",,,Paradise Place,S E18,Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
139,"14, Three Mill Lane, Greater London, E3, London, UK",51.526895,-0.00958,"Three Mill Lane, London, E3, United Kingdom",,,Three Mill Lane,E3,Tower Hamlets,,Bromley-by-Bow,London,Greater London,England,ENG,United Kingdom,gb,0.45,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
140,"1 Reeves Road, Bow, E3, London, UK",51.5240135,-0.0155665,"1 Reeves Road, London, E3 3PL, United Kingdom",1,,Reeves Road,E3 3PL,London Borough of Tower Hamlets,,Poplar,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
141,"Ebenezer Place, Chrisp Street, Poplar, E14, London, UK",51.5146181,-0.0146965,"Chrisp Street, London, E14 6PG, United Kingdom",,Chrisp Street,Chrisp Street,E14 6PG,London Borough of Tower Hamlets,,Poplar,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
142,"120 Chrisp Street, Poplar, E14, London, UK",51.5147044,-0.0145656,"Buffalo, 120 Chrisp Street, London, E14 6NL, United Kingdom",120,Buffalo,Chrisp Street,E14 6NL,London Borough of Tower Hamlets,,Poplar,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
143,"Wotton Way, Deptford, SE8, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
144,"18 Sevenoaks Road, Crofton park, SE4, London, UK",51.4525444,-0.0374563,"18 Sevenoaks Road, London, SE4 1RB, United Kingdom",18,,Sevenoaks Road,SE4 1RB,London Borough of Lewisham,,Honor Oak,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
145,"8 Sevenoaks Road Crofton Park, SE4, London, UK",51.45267185,-0.03783721071156571,"8 Sevenoaks Road, London, SE4 1RB, United Kingdom",8,,Sevenoaks Road,SE4 1RB,London Borough of Lewisham,,Honor Oak,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
146,"112 Foxberry Road, Brockley, London, UK",51.4613516,-0.0360347,"Foxberry Road, London, SE4 2SU, United Kingdom",,Foxberry Road,Foxberry Road,SE4 2SU,London Borough of Lewisham,,Brockley,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
147,"Reeves Road, Bow, E3, London, UK",51.5233558,-0.0156874,"Reeves Road, London, E3 3PP, United Kingdom",,Reeves Road,Reeves Road,E3 3PP,London Borough of Tower Hamlets,,Poplar,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
148,"4 Pier Road, North Woolwich, E16 , London, UK",51.5004451,0.0633357,"4 Pier Road, London, E16 2ZD, United Kingdom",4,,Pier Road,E16 2ZD,Newham,,River Thames,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
149,"Royal Dockyard, Woolwich, London, UK",51.4913623,0.06960685634137509,"Royal Arsenal Gatehouse, Beresford Square, London, SE18 6AR, United Kingdom",,Royal Arsenal Gatehouse,Beresford Square,SE18 6AR,Royal Borough of Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
150,"Royal Dockyard, Woolwich, London, UK",51.4913623,0.06960685634137509,"Royal Arsenal Gatehouse, Beresford Square, London, SE18 6AR, United Kingdom",,Royal Arsenal Gatehouse,Beresford Square,SE18 6AR,Royal Borough of Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
151,"Royal Dockyard, Woolwich, London, UK",51.4913623,0.06960685634137509,"Royal Arsenal Gatehouse, Beresford Square, London, SE18 6AR, United Kingdom",,Royal Arsenal Gatehouse,Beresford Square,SE18 6AR,Royal Borough of Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
152,"Royal Dockyard, Woolwich, London, UK",51.4913623,0.06960685634137509,"Royal Arsenal Gatehouse, Beresford Square, London, SE18 6AR, United Kingdom",,Royal Arsenal Gatehouse,Beresford Square,SE18 6AR,Royal Borough of Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
153,"Royal Dockyard, Woolwich, London, UK",51.4913623,0.06960685634137509,"Royal Arsenal Gatehouse, Beresford Square, London, SE18 6AR, United Kingdom",,Royal Arsenal Gatehouse,Beresford Square,SE18 6AR,Royal Borough of Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
154,"Royal Dockyard, Woolwich, London, UK",51.4913623,0.06960685634137509,"Royal Arsenal Gatehouse, Beresford Square, London, SE18 6AR, United Kingdom",,Royal Arsenal Gatehouse,Beresford Square,SE18 6AR,Royal Borough of Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
155,"Royal Dockyard, Woolwich, London, UK",51.4913623,0.06960685634137509,"Royal Arsenal Gatehouse, Beresford Square, London, SE18 6AR, United Kingdom",,Royal Arsenal Gatehouse,Beresford Square,SE18 6AR,Royal Borough of Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
156,"Royal Dockyard, Woolwich, London, UK",51.4913623,0.06960685634137509,"Royal Arsenal Gatehouse, Beresford Square, London, SE18 6AR, United Kingdom",,Royal Arsenal Gatehouse,Beresford Square,SE18 6AR,Royal Borough of Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
157,"Royal Dockyard, Woolwich, London, UK",51.4913623,0.06960685634137509,"Royal Arsenal Gatehouse, Beresford Square, London, SE18 6AR, United Kingdom",,Royal Arsenal Gatehouse,Beresford Square,SE18 6AR,Royal Borough of Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
158,"Commonwealth Buildings, Woolwich Curch Street, SE18, London, UK",51.492011,0.070431,"Woolwich Station, London, S E18, United Kingdom",,,Woolwich Station,S E18,Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,0.44099999999999995,1,0.44099999999999995,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
159,"Commonwealth Buildings, Woolwich Curch Street, SE18, London, UK",51.492011,0.070431,"Woolwich Station, London, S E18, United Kingdom",,,Woolwich Station,S E18,Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,0.44099999999999995,1,0.44099999999999995,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
160,"Commonwealth Buildings, Woolwich Curch Street, SE18, London, UK",51.492011,0.070431,"Woolwich Station, London, S E18, United Kingdom",,,Woolwich Station,S E18,Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,0.44099999999999995,1,0.44099999999999995,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
161,"Commonwealth Buildings, Woolwich Curch Street, SE18, London, UK",51.492011,0.070431,"Woolwich Station, London, S E18, United Kingdom",,,Woolwich Station,S E18,Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,0.44099999999999995,1,0.44099999999999995,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
162,"Bowater Road, Woolwich SE18, London, UK",51.494191,0.042463,"Bowater Road, London, S E18, United Kingdom",,,Bowater Road,S E18,Greenwich,,New Charlton,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
163,"Samuel Street, Woolwich SE18. Nos.148-154 inclusive, London, UK",51.4917702,0.0525492,"Samuel Street, London, SE18 5LH, United Kingdom",,Samuel Street,Samuel Street,SE18 5LH,Royal Borough of Greenwich,,Charlton Riverside,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
164,"Samuel Street, Woolwich SE18, London, UK",51.490349,0.051529,"Samuel Street, London, S E18, United Kingdom",,,Samuel Street,S E18,Greenwich,,Woolwich,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
165,"Red Barracks, Francis Street, Woolwich SE18, London, UK",51.5469233,0.004706,"Francis Street, London, E15 1JG, United Kingdom",,Francis Street,Francis Street,E15 1JG,London Borough of Newham,,Stratford New Town,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
166,"13 Walerand Road Lewisham, SE13, London, UK",51.4664081,-0.0089028,"Walerand Road, London, SE13 7PQ, United Kingdom",,Walerand Road,Walerand Road,SE13 7PQ,London Borough of Lewisham,,Deptford,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
167,"Honor Oak Road, Forest Hill SE23, London, UK",51.444383,-0.055281,"Honor Oak Road, London, S E23, United Kingdom",,,Honor Oak Road,S E23,Lewisham,,Forest Hill,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
168,"Devons Road, Bromley, E3, London, UK",51.5227719,-0.0184907,"Devons Road Station, Campbell Road, London, E3 3XU, United Kingdom",,Devons Road Station,Campbell Road,E3 3XU,London Borough of Tower Hamlets,,Bow,London,Greater London,England,ENG,United Kingdom,gb,0.5496428571428572,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
169,"Empson Street, Bromley, E3, London, UK",51.5221616,-0.0131847,"Empson Street, London, E3 3LY, United Kingdom",,Empson Street,Empson Street,E3 3LY,London Borough of Tower Hamlets,,Poplar,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
170,"Albert Road, North Wollwich, E16, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.16000000000000003,1,,,,https://www.whosonfirst.org/docs/licenses/
171,"Brewery Wharf, Creek Road, Greenwich, SE10, London, UK",51.4809748,-0.0209403,"Creek Road, London, SE8 3BN, United Kingdom",,Creek Road,Creek Road,SE8 3BN,Royal Borough of Greenwich,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
172,"Hyde Vale Greenwich S10, London, UK",51.4759525,-0.0094975,"Hyde Vale, London, SE10 8GU, United Kingdom",,Hyde Vale,Hyde Vale,SE10 8GU,Royal Borough of Greenwich,,East Greenwich,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
173,"Catherine Grove, Greenwich SE10, London, UK",51.474466,-0.01876,"Catherine Grove, London, S E10, United Kingdom",,,Catherine Grove,S E10,Greenwich,,Greenwich,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
174,"70 Crooms Hill, Greenwich SE10, London, UK",51.4767154,-0.0057761,"Crooms Hill, London, SE10 8HE, United Kingdom",,Crooms Hill,Crooms Hill,SE10 8HE,Royal Borough of Greenwich,,East Greenwich,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
